gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed,R64_picked,R32_picked,S16_picked,E8_picked,F4_picked,NCG_picked
mens,2018-03-31,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6443898733810001,1,222,Villanova,97.66,East,1,98.3%,79.5%,69.4%,48.8%,20.2%,7.9%
mens,2018-03-31,0,1.0,1.0,1.0,1.0,1.0,1.0,0.355610126619,1,130,Michigan,93.98,West,3,94.9%,63.4%,41.0%,11.6%,3.3%,1.5%
mens,2018-03-31,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,2350,Loyola (IL),87.27,South,11,19.6%,3.4%,0.7%,0.2%,0.1%,0.1%
mens,2018-03-31,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,2305,Kansas,92.37,Midwest,1,98.0%,65.1%,29.2%,18.4%,13.5%,5.9%
mens,2018-03-31,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2306,Kansas State,87.4,South,9,68.7%,3.8%,1.9%,0.6%,0.3%,0.1%
mens,2018-03-31,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,52,Florida State,87.48,West,9,31.4%,3.9%,0.9%,0.3%,0.1%,0.1%
mens,2018-03-31,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,150,Duke,94.56,Midwest,2,96.7%,87.2%,49.6%,15.1%,9.9%,3.7%
mens,2018-03-31,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2641,Texas Tech,89.19,East,3,94.4%,64.9%,32.0%,11.8%,3.2%,1.2%
mens,2018-03-31,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,96,Kentucky,90.54,South,5,77.2%,29.3%,3.7%,1.2%,0.4%,0.2%
mens,2018-03-31,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2440,Nevada,84.49,South,7,62.0%,12.2%,3.8%,1.0%,0.2%,0.1%
mens,2018-03-31,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2250,Gonzaga,90.07,West,4,96.5%,87.8%,57.8%,38.5%,22.3%,9.4%
mens,2018-03-31,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,245,Texas A&M,88.13,West,7,71.2%,20.6%,5.9%,1.6%,0.4%,0.2%
mens,2018-03-31,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,228,Clemson,87.57,Midwest,5,59.8%,7.2%,1.7%,0.6%,0.2%,0.1%
mens,2018-03-31,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,183,Syracuse,84.6,Midwest,11b,56.8%,6.4%,1.5%,0.3%,0.2%,0.1%
mens,2018-03-31,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,277,West Virginia,91.15,East,5,76.4%,25.4%,8.7%,2.2%,0.4%,0.2%
mens,2018-03-31,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2509,Purdue,89.95,East,2,97.4%,82.5%,48.6%,20.7%,5.7%,2.0%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2378,Maryland-Baltimore County,77.73,South,16,1.3%,0.7%,0.5%,0.3%,0.1%,0.1%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2084,Buffalo,83.38,South,13,5.6%,1.7%,0.4%,0.1%,0.1%,0.0%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2633,Tennessee,87.49,South,3,94.1%,68.9%,33.9%,12.4%,6.6%,3.6%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2132,Cincinnati,91.21,South,2,97.1%,81.0%,41.0%,16.9%,9.1%,5.3%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2752,Xavier,88.91,West,1,98.0%,89.1%,33.5%,22.0%,6.9%,3.8%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,194,Ohio State,86.03,West,5,71.1%,11.2%,4.6%,1.4%,0.4%,0.2%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,248,Houston,86.5,West,6,80.4%,31.3%,10.5%,4.1%,2.1%,1.1%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,153,North Carolina,90.7,West,2,96.5%,71.7%,35.1%,9.6%,2.6%,1.2%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2550,Seton Hall,85.95,Midwest,8,80.3%,33.9%,9.5%,3.3%,1.2%,0.4%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,Auburn,84.29,Midwest,4,97.1%,87.9%,58.9%,47.1%,28.0%,14.6%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,127,Michigan State,91.75,Midwest,3,97.9%,84.7%,52.1%,20.8%,12.1%,5.5%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,227,Rhode Island,83.75,Midwest,7,60.1%,4.5%,2.0%,0.6%,0.3%,0.1%
mens,2018-03-31,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,333,Alabama,83.03,East,9,64.7%,15.2%,11.2%,4.2%,1.4%,0.8%
