E8,F4,NCG,R32,R64,S16,team_name,team_seed
61.9%,41.1%,27.1%,94.1%,98.7%,85.0%,Duke,1
48.8%,20.2%,7.9%,79.5%,98.3%,69.4%,Virginia,1
22.0%,6.9%,3.8%,89.1%,98.0%,33.5%,Gonzaga,1
47.1%,28.0%,14.6%,87.9%,97.1%,58.9%,Kansas,4
38.5%,22.3%,9.4%,87.8%,96.5%,57.8%,Florida St,4
18.4%,13.5%,5.9%,65.1%,98.0%,29.2%,North Carolina,1
20.8%,12.1%,5.5%,84.7%,97.9%,52.1%,Houston,3
15.1%,9.9%,3.7%,87.2%,96.7%,49.6%,Kentucky,2
20.7%,5.7%,2.0%,82.5%,97.4%,48.6%,Tennessee,2
16.9%,9.1%,5.3%,81.0%,97.1%,41.0%,Michigan State,2
11.6%,3.3%,1.5%,63.4%,94.9%,41.0%,Texas Tech,3
9.6%,2.6%,1.2%,71.7%,96.5%,35.1%,Michigan,2
12.4%,6.6%,3.6%,68.9%,94.1%,33.9%,LSU,3
11.8%,3.2%,1.2%,64.9%,94.4%,32.0%,Purdue,3
3.0%,1.3%,0.6%,57.1%,89.1%,7.4%,Virginia Tech,4
5.5%,0.9%,0.3%,57.3%,88.9%,15.7%,Kansas State,4
4.1%,2.1%,1.1%,31.3%,80.4%,10.5%,Buffalo,6
4.2%,1.4%,0.8%,15.2%,64.7%,11.2%,Oklahoma,9
3.3%,1.2%,0.4%,33.9%,80.3%,9.5%,Utah State,8
1.2%,0.4%,0.2%,29.3%,77.2%,3.7%,Mississippi St,5
2.7%,1.0%,0.6%,33.7%,79.1%,7.8%,Maryland,6
2.2%,0.4%,0.2%,25.4%,76.4%,8.7%,Wisconsin,5
1.6%,0.6%,0.3%,26.0%,74.9%,4.8%,Villanova,6
1.6%,0.4%,0.2%,20.6%,71.2%,5.9%,Nevada,7
1.4%,0.4%,0.2%,14.5%,69.9%,5.2%,Cincinnati,7
1.4%,0.4%,0.2%,11.2%,71.1%,4.6%,Marquette,5
0.6%,0.3%,0.1%,3.8%,68.7%,1.9%,UCF,9
1.0%,0.2%,0.1%,12.2%,62.0%,3.8%,Louisville,7
0.5%,0.2%,0.1%,7.5%,66.4%,1.4%,Syracuse,8
0.7%,0.3%,0.2%,7.1%,35.3%,2.5%,Ole Miss,8
0.6%,0.3%,0.1%,4.5%,60.1%,2.0%,Wofford,7
0.5%,0.2%,0.1%,7.4%,28.8%,2.0%,Saint Mary's,11
0.6%,0.2%,0.1%,7.2%,59.8%,1.7%,Auburn,5
0.4%,0.2%,0.1%,0.9%,2.0%,0.5%,F. Dickinson,16
0.3%,0.2%,0.1%,6.4%,56.8%,1.5%,Ohio State,11
0.4%,0.2%,0.1%,5.9%,43.3%,1.3%,Iowa State,6
0.3%,0.1%,0.0%,5.7%,40.3%,1.2%,Florida,10
0.4%,Webb,0.1%,4.9%,39.9%,1.2%,New Mexico St,12
Webb,0.2%,0.1%,Webb,Webb,Webb,Gardner,16
0.2%,0.2%,Webb,3.6%,30.2%,1.1%,Liberty,12
0.4%,0.1%,0.1%,5.7%,38.0%,1.2%,Washington,9
0.4%,0.2%,0.1%,4.8%,20.9%,0.6%,Seton Hall,10
0.2%,0.1%,0.0%,4.5%,33.6%,1.2%,Oregon,12
0.4%,0.2%,0.1%,4.1%,22.8%,1.1%,Minnesota,10
0.3%,0.1%,0.1%,0.7%,1.3%,0.5%,North Dakota St,16
0.3%,0.1%,0.1%,3.9%,31.4%,0.9%,Baylor,9
0.3%,0.1%,0.0%,3.8%,28.9%,0.6%,Arizona State,11
0.3%,0.1%,0.1%,3.4%,23.6%,0.8%,Iona,16
0.3%,0.1%,0.1%,2.8%,25.1%,0.5%,Murray State,12
0.3%,0.1%,0.1%,0.8%,2.0%,0.8%,VCU,8
0.2%,0.1%,0.1%,3.4%,19.6%,0.7%,Belmont,11
0.2%,0.1%,0.0%,3.4%,19.7%,0.7%,Iowa,10
0.1%,0.0%,0.0%,2.7%,11.1%,0.4%,UC Irvine,13
0.2%,0.1%,0.0%,1.4%,10.9%,0.7%,Montana,15
0.2%,0.1%,0.0%,1.8%,5.9%,0.7%,Bradley,15
0.1%,0.1%,0.0%,1.7%,5.6%,0.4%,Saint Louis,13
0.2%,0.1%,0.0%,1.6%,5.1%,0.6%,Colgate,15
0.2%,0.1%,0.0%,1.4%,3.6%,0.4%,Yale,14
0.1%,0.1%,0.0%,1.3%,2.9%,0.6%,Abil Christian,15
0.2%,0.1%,0.0%,1.5%,3.6%,0.4%,Old Dominion,14
0.1%,0.1%,0.0%,1.1%,2.6%,0.4%,N Kentucky,14
0.1%,0.1%,0.0%,1.5%,3.3%,0.4%,Georgia State,14
0.1%,0.1%,0.0%,1.0%,2.1%,0.4%,Vermont,13
0.1%,0.1%,0.0%,1.3%,2.9%,0.3%,Northeastern,13
