E8,F4,NCG,R32,R64,S16,team_name,team_seed
61.9%,41.1%,27.1%,94.1%,98.7%,85.0%,UVA,1
48.8%,20.2%,7.9%,79.5%,98.3%,69.4%,Villanova,1
22.0%,6.9%,3.8%,89.1%,98.0%,33.5%,Xavier,1
47.1%,28.0%,14.6%,87.9%,97.1%,58.9%,Auburn,4
38.5%,22.3%,9.4%,87.8%,96.5%,57.8%,Gonzaga,4
18.4%,13.5%,5.9%,65.1%,98.0%,29.2%,Kansas,1
20.8%,12.1%,5.5%,84.7%,97.9%,52.1%,Michigan State,3
15.1%,9.9%,3.7%,87.2%,96.7%,49.6%,Duke,2
20.7%,5.7%,2.0%,82.5%,97.4%,48.6%,Purdue,2
16.9%,9.1%,5.3%,81.0%,97.1%,41.0%,Cincinnati,2
11.6%,3.3%,1.5%,63.4%,94.9%,41.0%,Michigan,3
9.6%,2.6%,1.2%,71.7%,96.5%,35.1%,UNC,2
12.4%,6.6%,3.6%,68.9%,94.1%,33.9%,Tennessee,3
11.8%,3.2%,1.2%,64.9%,94.4%,32.0%,Texas Tech,3
3.0%,1.3%,0.6%,57.1%,89.1%,7.4%,Arizona,4
5.5%,0.9%,0.3%,57.3%,88.9%,15.7%,Wichita State,4
4.1%,2.1%,1.1%,31.3%,80.4%,10.5%,Houston,6
4.2%,1.4%,0.8%,15.2%,64.7%,11.2%,Alabama,9
3.3%,1.2%,0.4%,33.9%,80.3%,9.5%,Seton Hall,8
1.2%,0.4%,0.2%,29.3%,77.2%,3.7%,Kentucky,5
2.7%,1.0%,0.6%,33.7%,79.1%,7.8%,Miami,6
2.2%,0.4%,0.2%,25.4%,76.4%,8.7%,West Virginia,5
1.6%,0.6%,0.3%,26.0%,74.9%,4.8%,Florida,6
1.6%,0.4%,0.2%,20.6%,71.2%,5.9%,Texas A&M;,7
1.4%,0.4%,0.2%,14.5%,69.9%,5.2%,Arkansas,7
1.4%,0.4%,0.2%,11.2%,71.1%,4.6%,OSU,5
0.6%,0.3%,0.1%,3.8%,68.7%,1.9%,Kansas State,9
1.0%,0.2%,0.1%,12.2%,62.0%,3.8%,Nevada,7
0.5%,0.2%,0.1%,7.5%,66.4%,1.4%,Missouri,8
0.7%,0.3%,0.2%,7.1%,35.3%,2.5%,Virginia Tech,8
0.6%,0.3%,0.1%,4.5%,60.1%,2.0%,URI,7
0.5%,0.2%,0.1%,7.4%,28.8%,2.0%,St. Bonaventure,11
0.6%,0.2%,0.1%,7.2%,59.8%,1.7%,Clemson,5
0.4%,0.2%,0.1%,0.9%,2.0%,0.5%,Texas Southern,16
0.3%,0.2%,0.1%,6.4%,56.8%,1.5%,Syracuse,11
0.4%,0.2%,0.1%,5.9%,43.3%,1.3%,TCU,6
0.3%,0.1%,0.0%,5.7%,40.3%,1.2%,Providence,10
0.4%,0.2%,0.1%,4.9%,39.9%,1.2%,New Mexico State,12
0.4%,0.2%,0.1%,0.8%,1.7%,0.5%,Radford,16
0.2%,0.2%,0.1%,3.6%,30.2%,1.1%,Davidson,12
0.4%,0.1%,0.1%,5.7%,38.0%,1.2%,NC State,9
0.4%,0.2%,0.1%,4.8%,20.9%,0.6%,Oklahoma,10
0.2%,0.1%,0.0%,4.5%,33.6%,1.2%,Murray State,12
0.4%,0.2%,0.1%,4.1%,22.8%,1.1%,Texas,10
0.3%,0.1%,0.1%,0.7%,1.3%,0.5%,UMBC,16
0.3%,0.1%,0.1%,3.9%,31.4%,0.9%,Florida State,9
0.3%,0.1%,0.0%,3.8%,28.9%,0.6%,San Diego State,11
0.3%,0.1%,0.1%,3.4%,23.6%,0.8%,Penn,16
0.3%,0.1%,0.1%,2.8%,25.1%,0.5%,South Dakota State,12
0.3%,0.1%,0.1%,0.8%,2.0%,0.8%,Creighton,8
0.2%,0.1%,0.1%,3.4%,19.6%,0.7%,LoyolaChicago,11
0.2%,0.1%,0.0%,3.4%,19.7%,0.7%,Butler,10
0.1%,0.0%,0.0%,2.7%,11.1%,0.4%,Marshall,13
0.2%,0.1%,0.0%,1.4%,10.9%,0.7%,Lipscomb,15
0.2%,0.1%,0.0%,1.8%,5.9%,0.7%,Georgia State,15
0.1%,0.1%,0.0%,1.7%,5.6%,0.4%,Buffalo,13
0.2%,0.1%,0.0%,1.6%,5.1%,0.6%,CSU Fullerton,15
0.2%,0.1%,0.0%,1.4%,3.6%,0.4%,Wright State,14
0.1%,0.1%,0.0%,1.3%,2.9%,0.6%,Iona,15
0.2%,0.1%,0.0%,1.5%,3.6%,0.4%,SF Austin,14
0.1%,0.1%,0.0%,1.1%,2.6%,0.4%,Montana,14
0.1%,0.1%,0.0%,1.5%,3.3%,0.4%,Bucknell,14
0.1%,0.1%,0.0%,1.0%,2.1%,0.4%,UNCG,13
0.1%,0.1%,0.0%,1.3%,2.9%,0.3%,Charleston,13
