gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot,R64_picked,R32_picked,S16_picked,E8_picked,F4_picked,NCG_picked
mens,2019-04-06,0,1.0,1.0,1.0,1.0,1.0,1.0,0.549860100077,6,1,258,Virginia,96.39,South,1,96,98.3%,79.5%,69.4%,48.8%,20.2%,7.9%
mens,2019-04-06,0,1.0,1.0,1.0,1.0,1.0,1.0,0.45013989992299996,6,1,2641,Texas Tech,95.41,West,3,52,94.9%,63.4%,41.0%,11.6%,3.3%,1.5%
mens,2019-04-06,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7,0,127,Michigan State,93.94,East,2,28,97.1%,81.0%,41.0%,16.9%,9.1%,5.3%
mens,2019-04-06,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7,0,2,Auburn,90.53,Midwest,5,72,59.8%,7.2%,1.7%,0.6%,0.2%,0.1%
mens,2019-04-06,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,150,Duke,96.56,East,1,0,98.7%,94.1%,85.0%,61.9%,41.1%,27.1%
mens,2019-04-06,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,2250,Gonzaga,95.66,West,1,32,98.0%,89.1%,33.5%,22.0%,6.9%,3.8%
mens,2019-04-06,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,96,Kentucky,92.31,Midwest,2,92,96.7%,87.2%,49.6%,15.1%,9.9%,3.7%
mens,2019-04-06,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0,2509,Purdue,91.97,South,3,116,94.4%,64.9%,32.0%,11.8%,3.2%,1.2%
mens,2019-04-06,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,259,Virginia Tech,90.22,East,4,12,89.1%,57.1%,7.4%,3.0%,1.3%,0.6%
mens,2019-04-06,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,99,Louisiana State,87.07,East,3,20,94.1%,68.9%,33.9%,12.4%,6.6%,3.6%
