team_seed,team_name,R64,R32,S16,E8,F4,NCG
1,Duke,98.7%,94.1%,85.0%,61.9%,41.1%,27.1%
1,Virginia,98.3%,79.5%,69.4%,48.8%,20.2%,7.9%
1,Gonzaga,98.0%,89.1%,33.5%,22.0%,6.9%,3.8%
4,Kansas,97.1%,87.9%,58.9%,47.1%,28.0%,14.6%
4,Florida St,96.5%,87.8%,57.8%,38.5%,22.3%,9.4%
1,North Carolina,98.0%,65.1%,29.2%,18.4%,13.5%,5.9%
3,Houston,97.9%,84.7%,52.1%,20.8%,12.1%,5.5%
2,Kentucky,96.7%,87.2%,49.6%,15.1%,9.9%,3.7%
2,Tennessee,97.4%,82.5%,48.6%,20.7%,5.7%,2.0%
2,Michigan State,97.1%,81.0%,41.0%,16.9%,9.1%,5.3%
3,Texas Tech,94.9%,63.4%,41.0%,11.6%,3.3%,1.5%
2,Michigan,96.5%,71.7%,35.1%,9.6%,2.6%,1.2%
3,LSU,94.1%,68.9%,33.9%,12.4%,6.6%,3.6%
3,Purdue,94.4%,64.9%,32.0%,11.8%,3.2%,1.2%
4,Virginia Tech,89.1%,57.1%,7.4%,3.0%,1.3%,0.6%
4,Kansas State,88.9%,57.3%,15.7%,5.5%,0.9%,0.3%
6,Buffalo,80.4%,31.3%,10.5%,4.1%,2.1%,1.1%
9,Oklahoma,64.7%,15.2%,11.2%,4.2%,1.4%,0.8%
8,Utah State,80.3%,33.9%,9.5%,3.3%,1.2%,0.4%
5,Mississippi St,77.2%,29.3%,3.7%,1.2%,0.4%,0.2%
6,Maryland,79.1%,33.7%,7.8%,2.7%,1.0%,0.6%
5,Wisconsin,76.4%,25.4%,8.7%,2.2%,0.4%,0.2%
6,Villanova,74.9%,26.0%,4.8%,1.6%,0.6%,0.3%
7,Nevada,71.2%,20.6%,5.9%,1.6%,0.4%,0.2%
7,Cincinnati,69.9%,14.5%,5.2%,1.4%,0.4%,0.2%
5,Marquette,71.1%,11.2%,4.6%,1.4%,0.4%,0.2%
9,UCF,68.7%,3.8%,1.9%,0.6%,0.3%,0.1%
7,Louisville,62.0%,12.2%,3.8%,1.0%,0.2%,0.1%
8,Syracuse,66.4%,7.5%,1.4%,0.5%,0.2%,0.1%
8,Ole Miss,35.3%,7.1%,2.5%,0.7%,0.3%,0.2%
7,Wofford,60.1%,4.5%,2.0%,0.6%,0.3%,0.1%
11,Saint Mary's,28.8%,7.4%,2.0%,0.5%,0.2%,0.1%
5,Auburn,59.8%,7.2%,1.7%,0.6%,0.2%,0.1%
16,F. Dickinson,2.0%,0.9%,0.5%,0.4%,0.2%,0.1%
11,Ohio State,56.8%,6.4%,1.5%,0.3%,0.2%,0.1%
6,Iowa State,43.3%,5.9%,1.3%,0.4%,0.2%,0.1%
10,Florida,40.3%,5.7%,1.2%,0.3%,0.1%,0.0%
12,New Mexico St,39.9%,4.9%,1.2%,0.4%,0.2%,0.1%
16,GardnerWebb,1.7%,0.8%,0.5%,0.4%,0.2%,0.1%
12,Liberty,30.2%,3.6%,1.1%,0.2%,0.2%,0.1%
9,Washington,38.0%,5.7%,1.2%,0.4%,0.1%,0.1%
10,Seton Hall,20.9%,4.8%,0.6%,0.4%,0.2%,0.1%
12,Oregon,33.6%,4.5%,1.2%,0.2%,0.1%,0.0%
10,Minnesota,22.8%,4.1%,1.1%,0.4%,0.2%,0.1%
16,North Dakota St,1.3%,0.7%,0.5%,0.3%,0.1%,0.1%
9,Baylor,31.4%,3.9%,0.9%,0.3%,0.1%,0.1%
11,Arizona State,28.9%,3.8%,0.6%,0.3%,0.1%,0.0%
16,Iona,23.6%,3.4%,0.8%,0.3%,0.1%,0.1%
12,Murray State,25.1%,2.8%,0.5%,0.3%,0.1%,0.1%
8,VCU,2.0%,0.8%,0.8%,0.3%,0.1%,0.1%
11,Belmont,19.6%,3.4%,0.7%,0.2%,0.1%,0.1%
10,Iowa,19.7%,3.4%,0.7%,0.2%,0.1%,0.0%
13,UC Irvine,11.1%,2.7%,0.4%,0.1%,0.0%,0.0%
15,Montana,10.9%,1.4%,0.7%,0.2%,0.1%,0.0%
15,Bradley,5.9%,1.8%,0.7%,0.2%,0.1%,0.0%
13,Saint Louis,5.6%,1.7%,0.4%,0.1%,0.1%,0.0%
15,Colgate,5.1%,1.6%,0.6%,0.2%,0.1%,0.0%
14,Yale,3.6%,1.4%,0.4%,0.2%,0.1%,0.0%
15,Abil Christian,2.9%,1.3%,0.6%,0.1%,0.1%,0.0%
14,Old Dominion,3.6%,1.5%,0.4%,0.2%,0.1%,0.0%
14,N Kentucky,2.6%,1.1%,0.4%,0.1%,0.1%,0.0%
14,Georgia State,3.3%,1.5%,0.4%,0.1%,0.1%,0.0%
13,Vermont,2.1%,1.0%,0.4%,0.1%,0.1%,0.0%
13,Northeastern,2.9%,1.3%,0.3%,0.1%,0.1%,0.0%
