team_seed,team_name,R64,R32,S16,E8,F4,NCG
1,Baylor,99.5%,98.5%,96.0%,89.1%,77.3%,57.5%
1,Notre Dame,99.4%,97.2%,93.4%,75.7%,48.4%,15.1%
1,Louisville,99.4%,97.9%,89.9%,75.7%,33.7%,10.4%
1,MSST,99.3%,96.9%,90.6%,71.7%,12.3%,5.9%
2,Stanford,99.0%,94.7%,65.2%,13.9%,5.3%,1.5%
2,Iowa,99.0%,91.3%,67.3%,6.3%,3.8%,2.0%
2,Oregon,98.4%,89.9%,55.8%,13.7%,1.7%,0.7%
2,UConn,98.6%,90.5%,56.6%,11.2%,3.8%,1.1%
3,Syracuse,97.2%,73.3%,32.6%,8.3%,1.3%,0.6%
3,Iowa State,95.9%,80.4%,29.0%,6.7%,2.6%,0.9%
3,NC State,97.8%,76.5%,24.3%,1.8%,0.7%,0.3%
3,Maryland,97.3%,70.4%,28.3%,5.0%,1.5%,0.4%
4,Oregon State,95.4%,67.6%,6.0%,2.9%,1.1%,0.4%
4,Miami,95.5%,65.6%,5.1%,2.5%,0.4%,0.2%
6,UCLA,80.3%,26.1%,11.2%,2.2%,0.9%,0.4%
6,SDST,78.3%,20.6%,6.7%,1.1%,0.2%,0.1%
4,South Carolina,93.3%,60.3%,1.7%,0.8%,0.4%,0.2%
4,Texas A&M,91.4%,50.6%,4.7%,1.1%,0.4%,0.2%
5,Gonzaga,90.2%,45.6%,3.2%,1.0%,0.4%,0.2%
5,Florida State,88.9%,31.6%,1.3%,0.5%,0.3%,0.1%
6,Kentucky,85.5%,28.7%,2.5%,0.3%,0.2%,0.1%
5,Marquette,83.7%,20.7%,1.3%,0.7%,0.3%,0.1%
6,DePaul,81.3%,15.2%,3.3%,0.4%,0.2%,0.1%
7,Missouri,77.7%,6.7%,2.5%,0.3%,0.2%,0.1%
5,Arizona State,76.9%,25.4%,2.1%,0.7%,0.2%,0.1%
7,Texas,74.6%,8.0%,2.0%,0.5%,0.1%,0.1%
11,Quinnipiac,21.7%,5.3%,1.8%,0.4%,0.2%,0.1%
7,Rutgers,71.0%,7.4%,1.8%,0.4%,0.2%,0.1%
8,SDAK,67.4%,1.8%,0.9%,0.4%,0.1%,0.1%
12,UCF,63.3%,6.1%,0.7%,0.3%,0.1%,0.0%
8,California,23.1%,0.8%,0.4%,0.2%,0.1%,0.1%
16,ACU,0.5%,0.3%,0.2%,0.3%,0.1%,0.1%
7,BYU,70.5%,5.4%,0.9%,0.2%,0.1%,0.0%
12,Rice,65.4%,3.3%,0.8%,0.2%,0.1%,0.1%
8,CMU,18.7%,3.2%,0.7%,0.2%,0.1%,0.1%
8,Michigan,59.8%,2.7%,0.4%,0.2%,0.1%,0.0%
16,Robert Morris,40.2%,1.4%,0.6%,0.2%,0.1%,0.1%
9,Michigan State,0.6%,0.4%,0.3%,0.2%,0.1%,0.1%
11,Missouri State,36.7%,1.2%,0.6%,0.2%,0.1%,0.1%
13,Boise State,34.6%,2.7%,0.5%,0.2%,0.1%,0.1%
13,Wright State,16.3%,1.1%,0.2%,0.1%,0.1%,0.0%
11,Tennessee,4.6%,2.6%,0.5%,0.2%,0.1%,0.1%
9,Clemson,32.7%,2.1%,0.5%,0.2%,0.1%,0.0%
10,Buffalo,9.8%,2.0%,0.4%,0.2%,0.1%,0.0%
16,Southern,29.5%,2.0%,0.5%,0.1%,0.1%,0.0%
9,Kansas State,29.0%,0.4%,0.4%,0.2%,0.0%,0.0%
11,Princeton,0.7%,1.0%,0.2%,0.1%,0.1%,0.0%
16,BethuneCookman,25.4%,1.7%,0.3%,0.1%,0.1%,0.0%
10,Auburn,0.6%,0.3%,0.4%,0.1%,0.0%,0.0%
12,Bucknell,19.7%,0.5%,0.1%,0.1%,0.0%,0.0%
10,Indiana,22.3%,2.0%,0.4%,0.1%,0.1%,0.0%
9,North Carolina,14.5%,1.8%,0.3%,0.1%,0.1%,0.0%
12,Little Rock,11.1%,1.5%,0.4%,0.1%,0.1%,0.0%
10,Drake,8.6%,1.5%,0.2%,0.1%,0.1%,0.0%
13,Belmont,6.7%,1.3%,0.1%,0.1%,0.0%,0.0%
15,Towson,4.5%,0.4%,0.4%,0.1%,0.0%,0.0%
14,NMSU,4.1%,1.0%,0.2%,0.1%,0.1%,0.0%
15,Portland State,2.8%,0.8%,0.3%,0.1%,0.0%,0.0%
15,Mercer,2.7%,0.8%,0.3%,0.1%,0.0%,0.0%
14,Radford,1.4%,0.7%,0.2%,0.1%,0.0%,0.0%
13,FGCU,2.2%,0.7%,0.2%,0.1%,0.0%,0.0%
15,UC Davis,1.6%,0.7%,0.1%,0.1%,0.0%,0.0%
14,Fordham,1.0%,0.5%,0.1%,0.1%,0.0%,0.0%
14,Maine,1.0%,0.5%,0.1%,0.0%,0.0%,0.0%
