"team_seed","team_name","R64","R32","S16","E8","F4","NCG"
1,"Stanford","94.3%","87.9%","78.9%","60.5%","39.3%","20.2%"
1,"UConn","93.6%","87.6%","80.4%","63.9%","52.8%","30.0%"
1,"South Carolina","93.2%","85.6%","77.2%","55.2%","23.5%","10.2%"
1,"NC State","92.9%","85.5%","71.4%","45.6%","10.7%","5.5%"
2,"Baylor","92.3%","83.3%","63.7%","15.9%","9.8%","4.8%"
2,"Texas A&M","91.6%","79.1%","60.7%","26.1%","7.1%","3.5%"
2,"Louisville","92.1%","81.8%","58.9%","19.9%","9.4%","2.7%"
2,"Maryland","91.9%","78.8%","57.8%","16.2%","7.4%","4.1%"
3,"Georgia","90.1%","64.4%","20.9%","6.2%","2.5%","1.1%"
3,"Arizona","89.9%","67.1%","19.6%","8.0%","2.0%","0.9%"
3,"UCLA","89.7%","66.4%","21.5%","7.6%","2.7%","1.4%"
3,"Tennessee","88.9%","65.9%","18.1%","5.0%","2.6%","1.0%"
4,"Arkansas","87.8%","62.7%","7.8%","3.7%","1.5%","0.8%"
4,"Indiana","86.1%","54.1%","9.5%","4.1%","1.4%","0.8%"
4,"Kentucky","87.5%","58.7%","5.9%","2.7%","1.4%","0.8%"
4,"West Virginia","87.1%","57.6%","8.9%","3.8%","1.2%","0.5%"
5,"Gonzaga","83.9%","35.4%","7.0%","2.8%","1.2%","0.6%"
6,"Oregon","79.4%","25.4%","8.9%","2.7%","1.3%","0.6%"
6,"Texas","84.1%","24.3%","8.0%","2.4%","1.0%","0.4%"
6,"Michigan","78.3%","22.5%","7.0%","2.0%","1.1%","0.6%"
5,"Iowa","83.5%","31.9%","4.4%","2.3%","1.1%","0.5%"
5,"Georgia Tech","81.7%","28.1%","6.3%","1.8%","0.7%","0.3%"
5,"Missouri State","78.4%","26.9%","4.1%","2.0%","0.8%","0.4%"
6,"Rutgers","73.5%","20.6%","4.6%","1.8%","0.7%","0.4%"
7,"Alabama","59.2%","9.3%","3.9%","1.5%","0.7%","0.3%"
8,"Syracuse","64.7%","5.2%","2.5%","1.1%","0.6%","0.3%"
7,"Iowa State","63.5%","8.9%","3.7%","1.5%","0.7%","0.3%"
7,"Northwestern","62.0%","8.8%","3.7%","1.4%","0.6%","0.3%"
10,"North Carolina","40.8%","8.2%","3.4%","1.4%","0.6%","0.3%"
8,"Oklahoma State","63.2%","4.9%","2.4%","1.1%","0.5%","0.2%"
10,"Michigan State","38.0%","8.1%","3.4%","1.4%","0.6%","0.3%"
7,"Virginia Tech","62.5%","8.1%","3.1%","1.1%","0.6%","0.3%"
8,"South Florida","61.0%","8.0%","2.8%","1.1%","0.4%","0.2%"
12,"SF Austin","21.6%","7.4%","2.8%","1.0%","0.4%","0.2%"
8,"Oregon State","54.7%","5.7%","2.4%","1.2%","0.5%","0.3%"
9,"Florida State","45.3%","7.4%","2.6%","1.2%","0.5%","0.3%"
11,"BYU","39.0%","5.5%","2.7%","1.2%","0.5%","0.3%"
11,"FGCU","26.5%","6.1%","2.4%","0.9%","0.4%","0.3%"
11,"South Dakota","20.6%","5.6%","2.1%","0.8%","0.4%","0.2%"
9,"Washington St","21.7%","5.8%","2.4%","1.1%","0.5%","0.2%"
10,"UCF","37.5%","5.7%","2.4%","1.0%","0.5%","0.2%"
9,"South Dakota St","36.8%","4.2%","2.1%","1.0%","0.5%","0.2%"
10,"Marquette","36.5%","5.5%","2.3%","0.9%","0.4%","0.2%"
9,"Wake Forest","35.3%","5.6%","2.2%","0.9%","0.4%","0.2%"
12,"UC Davis","18.3%","4.5%","1.6%","0.7%","0.3%","0.1%"
12,"Belmont","16.1%","5.5%","1.9%","0.9%","0.4%","0.1%"
13,"Idaho State","12.6%","5.3%","1.6%","0.7%","0.3%","0.2%"
14,"Wyoming","10.3%","5.2%","1.8%","0.8%","0.3%","0.2%"
12,"Cent Michigan","16.5%","4.4%","1.8%","0.7%","0.4%","0.2%"
16,"NC A&T","7.1%","3.4%","1.6%","0.9%","0.3%","0.1%"
15,"Troy","15.9%","5.1%","1.8%","0.8%","0.4%","0.2%"
11,"Bradley","8.4%","3.9%","1.7%","0.8%","0.4%","0.1%"
13,"Lehigh","13.9%","5.1%","1.7%","0.8%","0.4%","0.2%"
16,"High Point","6.4%","3.1%","1.5%","0.8%","0.4%","0.2%"
16,"Utah Valley","5.7%","2.8%","1.4%","0.8%","0.4%","0.1%"
13,"VCU","12.9%","5.0%","1.7%","0.8%","0.3%","0.2%"
16,"Mercer","12.2%","4.7%","1.7%","0.8%","0.3%","0.1%"
15,"Marist","11.1%","4.3%","1.7%","0.7%","0.3%","0.2%"
13,"Wright State","6.9%","3.3%","1.7%","0.7%","0.3%","0.1%"
15,"Mt. St. Mary's","10.1%","4.3%","1.6%","0.7%","0.3%","0.1%"
15,"Jackson State","9.9%","4.1%","1.6%","0.7%","0.3%","0.1%"
14,"Drexel","7.9%","3.7%","1.7%","0.7%","0.3%","0.1%"
14,"Middle Tenn","8.2%","3.7%","1.6%","0.7%","0.3%","0.1%"
14,"Stony Brook","7.7%","3.6%","1.6%","0.7%","0.3%","0.1%"
